index,filename,split,latitude,longitude
0,211021_181355_371.jpg,train,34.0611761,-117.1880836
1,211021_181403_368.jpg,train,34.061176499999995,-117.18738950000001
2,211021_181455_147.jpg,validation,34.0611761,-117.1830121
3,211021_181558_779.jpg,train,34.0608705,-117.18665390000001
4,211021_181636_464.jpg,train,34.060869999999994,-117.1899198
5,211021_181725_897.jpg,train,34.0605645,-117.1894651
6,211021_181808_258.jpg,unused_buffer,34.060563599999995,-117.1857827
7,211021_181853_249.jpg,validation,34.0605628,-117.1827875
8,211021_181954_778.jpg,train,34.060257299999996,-117.18757240000001
9,211021_182010_331.jpg,train,34.0602569,-117.18852820000001
10,211021_182133_104.jpg,train,34.0599511,-117.1876033
11,211021_182203_048.jpg,unused_buffer,34.0599504,-117.18541520000001
12,211021_182217_391.jpg,validation,34.059950099999995,-117.1837474
13,211021_182307_503.jpg,unused_buffer,34.059644999999996,-117.1846733
14,211021_182347_111.jpg,train,34.059643799999996,-117.18811260000001
15,211021_182443_209.jpg,test,34.0593387,-117.1907338
16,211021_182519_040.jpg,train,34.0593383,-117.18762430000001
17,211021_182612_753.jpg,validation,34.059336699999996,-117.18295020000001
18,211021_182701_821.jpg,unused_buffer,34.0590312,-117.185339
19,211021_182708_872.jpg,unused_buffer,34.0590312,-117.1856513
20,211021_182822_965.jpg,test,34.0587263,-117.19118250000001
21,211021_182840_954.jpg,test,34.0587251,-117.1898176
22,211021_182945_407.jpg,unused_buffer,34.058724,-117.1842074
23,211021_183027_818.jpg,validation,34.0584182,-117.1831327
24,211021_183102_315.jpg,unused_buffer,34.058417999999996,-117.1858067
25,211021_183210_521.jpg,test,34.058113,-117.19119520000001
26,211021_183301_083.jpg,test,34.058110899999996,-117.18699740000001
27,211021_183318_868.jpg,unused_buffer,34.058111,-117.185434
28,211021_183349_153.jpg,validation,34.0581104,-117.1828361
29,211021_183445_885.jpg,test,34.057804999999995,-117.1859671
